image,PSNR,SSIM
baboon.bmp,15.54265921469864,0.951148154631392
barbara.bmp,22.924797610154855,0.9961733576806969
bridge.bmp,23.554151398420196,0.9995736773232813
coastguard.bmp,24.390826666032904,0.9996913872798829
comic.bmp,20.484567061917296,0.9985667341060562
face.bmp,28.041648597485334,0.9980559144196893
flowers.bmp,24.843655518446077,0.9988527891919573
foreman.bmp,23.01097785879122,0.9880944357400862
lenna.bmp,21.81000177860018,0.9683910119629993
man.bmp,22.32937945587269,0.9901997269591715
monarch.bmp,23.8454426757111,0.9887992402118074
pepper.bmp,22.234308554540604,0.9863841679523957
ppt3.bmp,21.88194940084802,0.9996171302906052
zebra.bmp,23.994817084525373,0.9997849637320848
Mean,22.777798776860323,0.9902380493915791
